Product ID,Brand Name,Category,Product Name,Source,Price (INR),Discount (%),Final Price (₹),Rating,Shade/Variant,Product Type,Availability,Ingredients,Skin Type,Best Seller,Most Reviewed,Most Used,Similar Products
1001,Lakmé,Lipstick,Absolute Matte Lipstick,Amazon,388,40,232,4.5,Ruby Red,Matte,In Stock,Shea Butter,Combination,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1002,Kay Beauty,Lip Crayon,Matte Lip Crayon,Flipkart,822,18,674,4.4,Carnation Nude,Matte,In Stock,Glycerin,Dry,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1003,Nykaa,Nail Polish,Matte Nail Enamel,Sephora,722,25,541,4.3,Rosy Blush,Matte,In Stock,Niacinamide,Sensitive,No,Yes,Yes,Faces Canada Splash Nail Enamel
1004,Revlon,Nail Polish,ColorStay Gel Envy,Flipkart,915,19,741,4.3,Hot Pink,Gel,In Stock,Shea Butter,Combination,No,Yes,Yes,Sally Hansen Miracle Gel
1005,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Sephora,660,16,554,4.5,Fragrance-Free,Cream,In Stock,Retinol,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1006,Clinique,Moisturizer,Moisture Surge 100H,Nykaa,521,45,286,4.7,Fragrance-Free,Gel,In Stock,Vitamin C,Combination,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1007,Revlon,Nail Polish,ColorStay Gel Envy,Myntra,851,8,782,4.3,Hot Pink,Gel,In Stock,Glycerin,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1008,Faces Canada,Lipstick,Comfy Matte Lipstick,Amazon,441,46,238,4.4,Cherry Red,Matte,In Stock,Niacinamide,Oily,Yes,No,Yes,Nykaa So Matte Lipstick
1009,Revlon,Nail Polish,ColorStay Gel Envy,Nykaa,360,25,270,4.3,Hot Pink,Gel,In Stock,Vitamin C,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1010,Huda Beauty,Lipstick,Power Bullet Matte,Nykaa,207,49,105,4.8,Icon,Matte,In Stock,Vitamin C,Dry,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1011,Maybelline,Mascara,Colossal Waterproof Mascara,Nykaa,983,37,619,4.6,Black,Waterproof,In Stock,Niacinamide,Oily,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1012,Clinique,Moisturizer,Moisture Surge 100H,Amazon,601,19,486,4.7,Fragrance-Free,Gel,In Stock,Aloe Vera,Sensitive,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1013,Lakmé,Lipstick,Absolute Matte Lipstick,Sephora,777,42,450,4.5,Ruby Red,Matte,In Stock,Retinol,Combination,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1014,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Flipkart,230,5,218,4.6,Transparent,Essence,In Stock,Vitamin C,Dry,Yes,Yes,Yes,Olay Regenerist Serum
1015,Maybelline,Mascara,Colossal Waterproof Mascara,Myntra,996,14,856,4.6,Black,Waterproof,In Stock,Shea Butter,Combination,Yes,Yes,Yes,L'Oréal Paris Voluminous Mascara
1016,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Myntra,627,6,589,4.5,Fragrance-Free,Cream,In Stock,Vitamin C,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1017,Revlon,Nail Polish,ColorStay Gel Envy,Nykaa,419,8,385,4.3,Hot Pink,Gel,In Stock,Hyaluronic Acid,Dry,No,Yes,Yes,Sally Hansen Miracle Gel
1018,Mars,Eyeshadow,Mars 12-Color Palette,Amazon,885,33,592,4.2,Smokey Tones,Powder,In Stock,Retinol,Combination,No,Yes,Yes,Swiss Beauty Ultimate Eyeshadow
1019,Mars,Eyeshadow,Mars 12-Color Palette,Sephora,875,10,787,4.2,Smokey Tones,Powder,In Stock,Shea Butter,Sensitive,No,Yes,Yes,Swiss Beauty Ultimate Eyeshadow
1020,MyGlamm,Concealer,Total Makeover Concealer,Sephora,872,43,497,4.2,Almond,Liquid,In Stock,Vitamin C,Combination,No,Yes,Yes,Maybelline Fit Me Concealer
1021,MAC,Lipstick,Retro Matte Lipstick,Sephora,396,36,253,4.8,Ruby Woo,Matte,In Stock,Hyaluronic Acid,Dry,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1022,Lakmé,Lipstick,Absolute Matte Lipstick,Flipkart,289,42,167,4.5,Ruby Red,Matte,In Stock,Aloe Vera,Dry,Yes,Yes,Yes,Maybelline Super Stay Matte Ink
1023,MyGlamm,Concealer,Total Makeover Concealer,Myntra,386,5,366,4.2,Almond,Liquid,In Stock,Niacinamide,Normal,No,Yes,Yes,Maybelline Fit Me Concealer
1024,Revlon,Nail Polish,ColorStay Gel Envy,Myntra,651,50,325,4.3,Hot Pink,Gel,In Stock,Retinol,Sensitive,No,Yes,Yes,Sally Hansen Miracle Gel
1025,Nykaa,Nail Polish,Matte Nail Enamel,Myntra,321,38,199,4.3,Rosy Blush,Matte,In Stock,Shea Butter,Sensitive,No,Yes,Yes,Faces Canada Splash Nail Enamel
1026,Swiss Beauty,Foundation,HD Matte Foundation,Nykaa,809,28,582,4.3,Beige,Liquid,In Stock,Glycerin,Dry,Yes,Yes,Yes,Faces Canada Weightless Matte Foundation
1027,Nykaa,Nail Polish,Matte Nail Enamel,Amazon,295,31,203,4.3,Rosy Blush,Matte,In Stock,Retinol,Normal,No,Yes,Yes,Faces Canada Splash Nail Enamel
1028,Huda Beauty,Lipstick,Power Bullet Matte,Flipkart,645,32,438,4.8,Icon,Matte,In Stock,Niacinamide,Oily,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1029,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Amazon,682,38,422,4.6,Transparent,Essence,In Stock,Niacinamide,Normal,Yes,Yes,Yes,Olay Regenerist Serum
1030,Kay Beauty,Lip Crayon,Matte Lip Crayon,Nykaa,384,30,268,4.4,Carnation Nude,Matte,In Stock,Retinol,Combination,Yes,Yes,Yes,MyGlamm Perfect Lip Crayon
1031,Olay,Moisturizer,Regenerist Micro-Sculpting Cream,Amazon,911,37,573,4.5,Fragrance-Free,Cream,In Stock,Glycerin,Oily,Yes,Yes,Yes,L'Oréal Paris Revitalift Cream
1032,MAC,Lipstick,Retro Matte Lipstick,Sephora,263,35,170,4.8,Ruby Woo,Matte,In Stock,Glycerin,Combination,Yes,Yes,Yes,NARS Power Matte Lip Pigment
1033,Dior,Serum,Capture Totale Super Potent,Flipkart,371,16,311,4.9,Fragrance-Free,Serum,Limited,Glycerin,Combination,Yes,Yes,Yes,Lancôme Advanced Génifique
1034,Dior,Serum,Capture Totale Super Potent,Amazon,873,15,742,4.9,Fragrance-Free,Serum,Limited,Niacinamide,Dry,Yes,Yes,Yes,Lancôme Advanced Génifique
1035,Huda Beauty,Lipstick,Power Bullet Matte,Amazon,321,29,227,4.8,Icon,Matte,In Stock,Vitamin C,Dry,Yes,Yes,Yes,Fenty Beauty Stunna Lip Paint
1036,Charlotte Tilbury,Foundation,Airbrush Flawless,Myntra,508,15,431,4.9,Neutral 5,Liquid,Limited,Aloe Vera,Combination,Yes,Yes,Yes,Estée Lauder Double Wear
1037,Charlotte Tilbury,Foundation,Airbrush Flawless,Amazon,467,30,326,4.9,Neutral 5,Liquid,Limited,Retinol,Dry,Yes,Yes,Yes,Estée Lauder Double Wear
1038,Clinique,Moisturizer,Moisture Surge 100H,Sephora,299,12,263,4.7,Fragrance-Free,Gel,In Stock,Aloe Vera,Normal,Yes,Yes,Yes,Neutrogena Hydro Boost Gel
1039,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Flipkart,894,18,733,4.6,Transparent,Essence,In Stock,Glycerin,Sensitive,Yes,Yes,Yes,Olay Regenerist Serum
1040,L'Oréal Paris,Serum,Revitalift Crystal Micro-Essence,Amazon,330,27,240,4.6,Transparent,Essence,In Stock,Vitamin C,Combination,Yes,Yes,Yes,Olay Regenerist Serum
1041,Nykaa,Nail Polish,Matte Nail Enamel,Sephora,325,35,211,4.3,Rosy Blush,Matte,In Stock,Aloe Vera,Oily,No,Yes,Yes,Faces Canada Splash Nail Enamel
